Exported on: 06/15/2025 10:55 AM ET

Selected account(s):CMA-Edge 25Z-58U77


,
"CMA-Edge 25Z-58U77" ,"Value" ,"Day's Value Change" ,"Unrealized Gain/Loss" 
"" ,"$320,551.78" ,"$0.00 0.00%" ,"+$55,289.96 +21.86%" 
,
"" 
"Symbol " ,"Description" ,"Quantity" ,"% of Portfolio" ,"Unit Cost" ,"Price" ,"Value" ,"Day's Value $ Chg % Chg" ,"Unrealized Gain/Loss $ Chg % Chg" 
"SYF" ,"SYNCHRONY FINL COM" ,"100" ,"1.87%" ,"$48.60" ,"$59.84" ,"$5,984.00" ,"$0.00 0.00%" ,"+$1,124.00 +23.13%" 
"SMCI" ,"SUPER MICRO COMPUTER INC" ,"140" ,"1.82%" ,"$44.09" ,"$41.56" ,"$5,818.40" ,"$0.00 0.00%" ,"-$354.23 -5.74%" 
"MAIN" ,"MAIN STR CAP CORP" ,"64.4414" ,"1.16%" ,"$40.56" ,"$57.76" ,"$3,722.14" ,"$0.00 0.00%" ,"+$1,108.20 +42.40%" 
"MFC" ,"MANULIFE FINANCIAL CORP" ,"184.0616" ,"1.79%" ,"$23.52" ,"$31.18" ,"$5,739.05" ,"$0.00 0.00%" ,"+$1,409.86 +32.57%" 
"CCL" ,"CARNIVAL CORP PAIRED SHS" ,"200" ,"1.40%" ,"$22.40" ,"$22.41" ,"$4,482.00" ,"$0.00 0.00%" ,"+$2.00 +0.04%" 
"USBPRH" ,"US BANCORP" ,"262.4253" ,"1.68%" ,"$20.58" ,"$20.46" ,"$5,369.23" ,"$0.00 0.00%" ,"-$32.24 -0.60%" 
"LC" ,"LENDINGCLUB CORP" ,"300" ,"0.98%" ,"$17.16" ,"$10.46" ,"$3,138.00" ,"$0.00 0.00%" ,"-$2,010.00 -39.04%" 
"EZPW" ,"EZCORP INC NON VTG CL A" ,"400" ,"1.64%" ,"$15.80" ,"$13.17" ,"$5,268.00" ,"$0.00 0.00%" ,"-$1,052.00 -16.65%" 
"JPC" ,"NUVEEN PREFERRED & INCOM" ,"600" ,"1.48%" ,"$7.50" ,"$7.89" ,"$4,734.00" ,"$0.00 0.00%" ,"+$234.00 +5.20%" 
"Balances " ,"" ,"" ,"" ,"" ,"" ,"" ,"" ,"" 
"Money accounts" ,"BLACKROCK LIQUIDITY" ,"18.8810" ,"0.01%" ,"$1.00" ,"$1.0004" ,"$18.89" ,"$0.00 0.00%" ,"$0.00 0.00%" 
"Money accounts" ,"BLACKROCK LIQUIDITY FUND" ,"14.9400" ,"0.01%" ,"$1.00" ,"$1.00" ,"$14.94" ,"$0.00 0.00%" ,"$0.00 0.00%" 
"Money accounts" ,"ML DIRECT DEPOSIT PROGRM" ,"12,296" ,"3.84%" ,"--" ,"$1.00" ,"$12,296.00" ,"$0.00 0.00%" ,"-- --" 
"Cash balance" ,"" ,"" ,"" ,"" ,"" ,"$13.89" ," " ," " 
"Pending activity" ,"" ,"" ,"" ,"" ,"" ,"$0.00" ," " ," " 
"Total" ,"" ,"" ,"100.00%" ,"" ,"" ,"$320,551.78" ,"$0.00 0.00%" ,"+$55,289.96 +21.86%" 
,
